ProductID,Product,ProductCategory,Price,Description,AlsoBought1,AlsoBought2,AlsoBought3
1,Running Shoes,Footwear,85,Lightweight running shoes for trails.,Water Bottle,Headlamp,
2,Hiking Backpack,Outdoor,120,Durable backpack with 30L capacity.,Water Bottle,Tent,
3,Tent,Outdoor,230,4-person tent, all-season.,Sleeping Bag,Lantern
4,Water Bottle,Accessories,20,Insulated bottle, 1L capacity.,Running Shoes,Headlamp
5,Headlamp,Accessories,35,LED headlamp, 3 brightness levels.,Running Shoes,Hiking Backpack
6,Lantern,Outdoor,60,Battery-powered camping lantern.,Tent,Sleeping Bag,
7,Sleeping Bag,Outdoor,75,Warm sleeping bag for camping.,Tent,Lantern,
8,Tech T-Shirt,Clothing,50,Comfortable t-shirt with tech design.,Azure Socks,Microsoft Hoodie,
9,Microsoft Hoodie,Clothing,40,Cozy hoodie with Microsoft logo.,Azure Socks,Tech T-Shirt,
10,Azure Socks,Clothing,100,Stylish socks with Azure branding.,Tech T-Shirt,Microsoft Hoodie,
11,Xbox Series X,Electronics,220,Next-gen gaming console.,Surface Pro,Microsoft Mouse,
12,Surface Pro,Electronics,300,2-in-1 tablet and laptop.,Microsoft Mouse,Laptop Bag,
13,Microsoft Mouse,Electronics,100,Wireless ergonomic mouse.,USB-C Hub,Surface Pro,
14,Laptop Bag,Accessories,150,Protective bag for laptops.,Wireless Charger,USB-C Hub,
15,Wireless Charger,Accessories,100,Fast wireless charging pad.,Laptop Bag,USB-C Hub,
16,USB-C Hub,Accessories,200,Multi-port USB-C hub for connectivity.,Wireless Charger,Laptop Bag,
17,Windows 11 Pro,Software,300,Latest Windows 11 Pro operating system.,Office 365,Visual Studio,
18,Visual Studio,Software,400,Integrated development environment software.,Windows 11 Pro,Office 365,
19,Office 365,Software,100,Subscription to Microsoft Office apps.,Windows 11 Pro,Visual Studio,
20,Azure Fundamentals,Books,100,Guide to Azure fundamentals.,Power BI Guide,Microsoft 365 Handbook,
21,Power BI Guide,Books,50,Comprehensive Power BI guide.,Azure Fundamentals,Microsoft 365 Handbook,
